track,car,speedX,speedY,speedZ,angle,trackPos,rpm,gear,distRaced,damage,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,focus0,focus1,focus2,focus3,focus4,wheelSpinVel0,wheelSpinVel1,wheelSpinVel2,wheelSpinVel3,opponents0,opponents1,opponents2,opponents3,opponents4,opponents5,opponents6,opponents7,opponents8,opponents9,opponents10,opponents11,opponents12,opponents13,opponents14,opponents15,opponents16,opponents17,opponents18,opponents19,opponents20,opponents21,opponents22,opponents23,opponents24,opponents25,opponents26,opponents27,opponents28,opponents29,opponents30,opponents31,opponents32,opponents33,opponents34,opponents35,steering,accel,brake,clutch,meta,focusCmd,is_ml,left,right,up,down,r,commandedGear
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.08,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.12,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.16,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.2,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.24000000000000002,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.28,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.32,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.36,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.39999999999999997,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.43999999999999995,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.4799999999999999,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.5199999999999999,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.5599999999999999,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.6,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.64,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.68,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.7200000000000001,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.7600000000000001,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.8000000000000002,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.8400000000000002,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1159.58,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.8800000000000002,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1174.91,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.9200000000000003,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1198.0,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.9600000000000003,0.0,0.0,0,0,0,0,0,1,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1228.96,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,1
